,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
33,GHCND:USC00124165,2019-02-03T00:00:00,,,0.0,0.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
34,GHCND:USC00124165,2019-02-04T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
35,GHCND:USC00124165,2019-02-05T00:00:00,,,48.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
36,GHCND:USC00124165,2019-02-06T00:00:00,,,127.0,0.0,0.0,,1.0,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
37,GHCND:USC00124165,2019-02-07T00:00:00,,,20.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
38,GHCND:USC00124165,2019-02-08T00:00:00,,,41.0,0.0,0.0,,,,1.0,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
39,GHCND:USC00124165,2019-02-09T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
40,GHCND:USC00124165,2019-02-10T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
41,GHCND:USC00124165,2019-02-11T00:00:00,,,56.0,51.0,51.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
42,GHCND:USC00124165,2019-02-12T00:00:00,,,51.0,0.0,51.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
43,GHCND:USC00124165,2019-02-13T00:00:00,,,5.0,8.0,51.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
44,GHCND:USC00124165,2019-02-14T00:00:00,,,0.0,0.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
45,GHCND:USC00124165,2019-02-15T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
46,GHCND:USC00124165,2019-02-16T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
47,GHCND:USC00124165,2019-02-17T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
48,GHCND:USC00124165,2019-02-18T00:00:00,,,38.0,33.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
49,GHCND:USC00124165,2019-02-19T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
50,GHCND:USC00124165,2019-02-20T00:00:00,,,5.0,25.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
51,GHCND:USC00124165,2019-02-21T00:00:00,,,13.0,0.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
52,GHCND:USC00124165,2019-02-22T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
53,GHCND:USC00124165,2019-02-23T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
54,GHCND:USC00124165,2019-02-24T00:00:00,,,46.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
55,GHCND:USC00124165,2019-02-25T00:00:00,,,0.0,0.0,0.0,,,,1.0,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
56,GHCND:USC00124165,2019-02-26T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
57,GHCND:USC00124165,2019-02-27T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
58,GHCND:USC00124165,2019-02-28T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
59,GHCND:USC00124165,2019-03-01T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
60,GHCND:USC00124165,2019-03-02T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
61,GHCND:USC00124165,2019-03-03T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
62,GHCND:USC00124165,2019-03-04T00:00:00,,,3.0,13.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
63,GHCND:USC00124165,2019-03-05T00:00:00,,,3.0,3.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
64,GHCND:USC00124165,2019-03-06T00:00:00,,,0.0,0.0,25.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
65,GHCND:USC00124165,2019-03-07T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
66,GHCND:USC00124165,2019-03-08T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
67,GHCND:USC00124165,2019-03-09T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
68,GHCND:USC00124165,2019-03-10T00:00:00,,,241.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
69,GHCND:USC00124165,2019-03-11T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
70,GHCND:USC00124165,2019-03-12T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
71,GHCND:USC00124165,2019-03-13T00:00:00,,,20.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
72,GHCND:USC00124165,2019-03-14T00:00:00,,,30.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
73,GHCND:USC00124165,2019-03-15T00:00:00,,,91.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
74,GHCND:USC00124165,2019-03-16T00:00:00,,,28.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
75,GHCND:USC00124165,2019-03-17T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
76,GHCND:USC00124165,2019-03-18T00:00:00,,,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
77,GHCND:USC00124165,2019-03-19T00:00:00,2.0,0.0,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
78,GHCND:USC00124165,2019-03-20T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
79,GHCND:USC00124165,2019-03-21T00:00:00,,,28.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
