,station,date,DAPR,MDPR,PRCP,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
34,GHCND:US1INDK0021,2019-08-07T00:00:00,,,137.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
35,GHCND:US1INDK0021,2019-08-13T00:00:00,,,117.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
36,GHCND:US1INDK0021,2019-08-14T00:00:00,,,218.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
37,GHCND:US1INDK0021,2019-08-15T00:00:00,,,226.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
38,GHCND:US1INDK0021,2019-08-19T00:00:00,4.0,282.0,,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
39,GHCND:US1INDK0021,2019-08-27T00:00:00,8.0,201.0,,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
40,GHCND:US1INDK0021,2019-09-03T00:00:00,7.0,168.0,,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
41,GHCND:US1INDK0021,2019-09-04T00:00:00,,,147.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
42,GHCND:US1INDK0021,2019-09-15T00:00:00,,,381.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
43,GHCND:US1INDK0021,2019-09-22T00:00:00,,,15.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
44,GHCND:US1INDK0021,2019-09-23T00:00:00,,,191.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
45,GHCND:US1INDK0021,2019-10-06T00:00:00,,,20.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
46,GHCND:US1INDK0021,2019-10-17T00:00:00,11.0,94.0,,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
47,GHCND:US1INDK0021,2019-10-24T00:00:00,7.0,206.0,,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
48,GHCND:US1INDK0021,2019-10-27T00:00:00,,,287.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
49,GHCND:US1INDK0021,2019-11-01T00:00:00,,,229.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
50,GHCND:US1INDK0021,2019-12-09T00:00:00,,,132.0,269.7,2018-05-03,2020-03-10,41.35884,"GARRETT 0.9 NW, IN US",0.1652,METERS,-85.13915
