,station,date,PRCP,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
35,GHCND:US1INNB0022,2019-06-20T00:00:00,528,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
36,GHCND:US1INNB0022,2019-06-21T00:00:00,53,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
37,GHCND:US1INNB0022,2019-06-23T00:00:00,5,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
38,GHCND:US1INNB0022,2019-06-24T00:00:00,150,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
39,GHCND:US1INNB0022,2019-06-25T00:00:00,38,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
40,GHCND:US1INNB0022,2019-06-26T00:00:00,30,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
41,GHCND:US1INNB0022,2019-06-27T00:00:00,23,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
42,GHCND:US1INNB0022,2019-07-03T00:00:00,160,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
43,GHCND:US1INNB0022,2019-07-14T00:00:00,5,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
44,GHCND:US1INNB0022,2019-07-16T00:00:00,5,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
45,GHCND:US1INNB0022,2019-07-17T00:00:00,216,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
46,GHCND:US1INNB0022,2019-07-19T00:00:00,102,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
47,GHCND:US1INNB0022,2019-07-20T00:00:00,28,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
