,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
28,GHCND:US1INAL0005,2019-01-29T00:00:00,,,43.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
29,GHCND:US1INAL0005,2019-01-31T00:00:00,,,0.0,0.0,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
30,GHCND:US1INAL0005,2019-02-01T00:00:00,,,25.0,76.0,152.0,208.0,25.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
31,GHCND:US1INAL0005,2019-02-02T00:00:00,,,0.0,0.0,127.0,231.0,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
32,GHCND:US1INAL0005,2019-02-03T00:00:00,,,0.0,0.0,102.0,,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
33,GHCND:US1INAL0005,2019-02-04T00:00:00,,,0.0,0.0,25.0,112.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
34,GHCND:US1INAL0005,2019-02-05T00:00:00,,,23.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
35,GHCND:US1INAL0005,2019-02-06T00:00:00,,,130.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
36,GHCND:US1INAL0005,2019-02-07T00:00:00,,,8.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
37,GHCND:US1INAL0005,2019-02-08T00:00:00,,,25.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
38,GHCND:US1INAL0005,2019-02-09T00:00:00,,,0.0,0.0,0.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
39,GHCND:US1INAL0005,2019-02-10T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
40,GHCND:US1INAL0005,2019-02-11T00:00:00,,,30.0,33.0,38.0,46.0,46.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
41,GHCND:US1INAL0005,2019-02-12T00:00:00,,,127.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
42,GHCND:US1INAL0005,2019-02-13T00:00:00,,,10.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
43,GHCND:US1INAL0005,2019-02-14T00:00:00,,,0.0,0.0,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
44,GHCND:US1INAL0005,2019-02-15T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
45,GHCND:US1INAL0005,2019-02-16T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
46,GHCND:US1INAL0005,2019-02-17T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
47,GHCND:US1INAL0005,2019-02-18T00:00:00,,,10.0,8.0,8.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
48,GHCND:US1INAL0005,2019-02-19T00:00:00,,,0.0,0.0,0.0,,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
49,GHCND:US1INAL0005,2019-02-20T00:00:00,,,25.0,38.0,38.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
50,GHCND:US1INAL0005,2019-02-21T00:00:00,,,10.0,,13.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
51,GHCND:US1INAL0005,2019-02-22T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
52,GHCND:US1INAL0005,2019-02-23T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
53,GHCND:US1INAL0005,2019-02-24T00:00:00,,,81.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
54,GHCND:US1INAL0005,2019-02-25T00:00:00,,,3.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
55,GHCND:US1INAL0005,2019-02-26T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
56,GHCND:US1INAL0005,2019-02-27T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
57,GHCND:US1INAL0005,2019-02-28T00:00:00,,,0.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
