,station,date,DAPR,MDPR,PRCP,SNOW,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
33,GHCND:US1INNB0024,2019-02-03T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
34,GHCND:US1INNB0024,2019-02-04T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
35,GHCND:US1INNB0024,2019-02-05T00:00:00,,,38.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
36,GHCND:US1INNB0024,2019-02-06T00:00:00,,,109.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
37,GHCND:US1INNB0024,2019-02-07T00:00:00,,,33.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
38,GHCND:US1INNB0024,2019-02-08T00:00:00,,,33.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
39,GHCND:US1INNB0024,2019-02-09T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
40,GHCND:US1INNB0024,2019-02-10T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
41,GHCND:US1INNB0024,2019-02-11T00:00:00,,,46.0,51.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
42,GHCND:US1INNB0024,2019-02-12T00:00:00,,,157.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
43,GHCND:US1INNB0024,2019-02-13T00:00:00,,,13.0,13.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
44,GHCND:US1INNB0024,2019-02-14T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
45,GHCND:US1INNB0024,2019-02-15T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
46,GHCND:US1INNB0024,2019-02-25T00:00:00,10.0,61.0,,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
47,GHCND:US1INNB0024,2019-02-26T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
48,GHCND:US1INNB0024,2019-02-27T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
49,GHCND:US1INNB0024,2019-02-28T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
50,GHCND:US1INNB0024,2019-03-01T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
51,GHCND:US1INNB0024,2019-03-02T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
52,GHCND:US1INNB0024,2019-03-03T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
53,GHCND:US1INNB0024,2019-03-04T00:00:00,,,8.0,13.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
54,GHCND:US1INNB0024,2019-03-05T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
55,GHCND:US1INNB0024,2019-03-06T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
56,GHCND:US1INNB0024,2019-03-07T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
57,GHCND:US1INNB0024,2019-03-08T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
58,GHCND:US1INNB0024,2019-03-09T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
59,GHCND:US1INNB0024,2019-03-10T00:00:00,,,203.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
60,GHCND:US1INNB0024,2019-03-11T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
61,GHCND:US1INNB0024,2019-03-12T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
62,GHCND:US1INNB0024,2019-03-13T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
63,GHCND:US1INNB0024,2019-03-14T00:00:00,,,51.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
64,GHCND:US1INNB0024,2019-03-15T00:00:00,,,147.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
65,GHCND:US1INNB0024,2019-03-16T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
66,GHCND:US1INNB0024,2019-03-17T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
67,GHCND:US1INNB0024,2019-03-18T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
68,GHCND:US1INNB0024,2019-03-19T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
69,GHCND:US1INNB0024,2019-03-21T00:00:00,,,64.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
70,GHCND:US1INNB0024,2019-03-22T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
71,GHCND:US1INNB0024,2019-03-23T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
72,GHCND:US1INNB0024,2019-03-24T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
73,GHCND:US1INNB0024,2019-03-25T00:00:00,,,38.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
74,GHCND:US1INNB0024,2019-03-26T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
75,GHCND:US1INNB0024,2019-03-27T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
